Task 7 running algorithm: linearSwitchFromRandom
cn16.hpc.itu.dk
nsio
/home/nsio/bachelorProject/hpc-jobs
Running iterations for algorithm: linearSwitchFromRandom
  Completed 100 iterations for size 8, cohesion 0.
  Completed 100 iterations for size 8, cohesion 10.
  Completed 100 iterations for size 8, cohesion 20.
  Completed 100 iterations for size 8, cohesion 30.
  Completed 100 iterations for size 8, cohesion 40.
  Completed 100 iterations for size 8, cohesion 50.
  Completed 100 iterations for size 8, cohesion 60.
  Completed 100 iterations for size 8, cohesion 70.
  Completed 100 iterations for size 8, cohesion 80.
  Completed 100 iterations for size 8, cohesion 90.
  Completed 100 iterations for size 8, cohesion 100.
  Completed 100 iterations for size 30, cohesion 0.
  Completed 100 iterations for size 30, cohesion 10.
  Completed 100 iterations for size 30, cohesion 20.
  Completed 100 iterations for size 30, cohesion 30.
  Completed 100 iterations for size 30, cohesion 40.
  Completed 100 iterations for size 30, cohesion 50.
  Completed 100 iterations for size 30, cohesion 60.
  Completed 100 iterations for size 30, cohesion 70.
  Completed 100 iterations for size 30, cohesion 80.
  Completed 100 iterations for size 30, cohesion 90.
  Completed 100 iterations for size 30, cohesion 100.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 14 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 16 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 19 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 20 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 21 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 22 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 24 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 25 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 26 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 27 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 30 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 31 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 32 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 33 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 34 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 36 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 37 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 39 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 42 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 46 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 47 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 48 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 49 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 50 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 51 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 52 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 53 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 54 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 56 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 58 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 60 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 61 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 62 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 63 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 65 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 66 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 67 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 69 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 70 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 72 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 73 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 77 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 78 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 79 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 81 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 83 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 84 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 87 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 88 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 91 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 94 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 95 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 96 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 10, iter 97 took longer than 30 seconds.
  Completed 100 iterations for size 100, cohesion 10.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 1 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 3 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 4 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 5 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 6 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 8 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 9 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 10 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 11 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 12 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 13 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 15 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 17 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 20 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 21 took longer than 30 seconds.
