algorithm,random_avg_score,fluent_avg_score,difference,percent_difference,random_samples,fluent_samples
randomSwitch,9647.00384090909,13486.812339101396,-3839.8084981923057,-28.47083804272868,6600,6600
annealing,8142.404112121212,12823.028471463265,-4680.624359342053,-36.50170760954363,6600,6600
linearSwitch,8820.76672878788,13506.54052975106,-4685.773800963181,-34.69262755064301,6600,6600
tabuSearch,7118.077774242424,13455.875132058289,-6337.797357815864,-47.100595803807806,6600,6600
