Algorithm,Random Avg,Grouped Avg,Score Difference,Relative Improvement (%),Grouped Wins (%),Ties (%)
linearSwitch,1484.5106181818182,1494.782409090909,10.271790909090669,0.6919311174527828,90.9090909090909,0.0
randomSwitch,1467.9193454545455,1482.5999727272729,14.680627272727406,1.000097676904824,100.0,0.0
annealing,1521.1396272727272,1521.3732818181818,0.23365454545455577,0.015360492966282018,54.54545454545454,0.0
tabuSearch,1496.4593,1500.4247090909093,3.965409090909361,0.2649860969095091,63.63636363636363,0.0
Total/Average,1492.5072227272726,1499.7950931818182,7.287870454545498,0.4930938460583495,77.27272727272727,0.0
