algorithm,n_people,cohesion,iteration,score,time
influenceListGreedy,8,0,99,396.02,0.018921852111816406
influenceListGreedy,8,10,0,582.2,0.019222259521484375
influenceListGreedy,8,10,1,286.07,0.01973414421081543
influenceListGreedy,8,10,2,340.79,0.01996135711669922
influenceListGreedy,8,10,3,315.01,0.019852638244628906
influenceListGreedy,8,10,4,386.97,0.020298480987548828
influenceListGreedy,8,10,5,457.8,0.018995285034179688
influenceListGreedy,8,10,6,362.13,0.018969297409057617
influenceListGreedy,8,10,7,367.67,0.018660783767700195
influenceListGreedy,8,10,8,338.31,0.019266605377197266
influenceListGreedy,8,10,9,362.37,0.019350051879882812
influenceListGreedy,8,10,10,387.87,0.019194364547729492
influenceListGreedy,8,10,11,403.49,0.01890110969543457
influenceListGreedy,8,10,12,494.89,0.01900029182434082
influenceListGreedy,8,10,13,338.71,0.01898050308227539
influenceListGreedy,8,10,14,507.02,0.019025087356567383
influenceListGreedy,8,10,15,365.76,0.01931309700012207
influenceListGreedy,8,10,16,240.99,0.01917266845703125
influenceListGreedy,8,10,17,321.96,0.01906442642211914
influenceListGreedy,8,10,18,435.54,0.019093751907348633
influenceListGreedy,8,10,19,317.53,0.01908731460571289
influenceListGreedy,8,10,20,406.74,0.019327163696289062
influenceListGreedy,8,10,21,331.61,0.019587039947509766
influenceListGreedy,8,10,22,394.7,0.02041149139404297
influenceListGreedy,8,10,23,377.14,0.020711660385131836
influenceListGreedy,8,10,24,389.62,0.020148277282714844
influenceListGreedy,8,10,25,389.29,0.018964529037475586
influenceListGreedy,8,10,26,329.6,0.018759727478027344
influenceListGreedy,8,10,27,369.35,0.018857955932617188
influenceListGreedy,8,10,28,397.71,0.019403696060180664
influenceListGreedy,8,10,29,333.69,0.019631147384643555
influenceListGreedy,8,10,30,355.93,0.018923282623291016
influenceListGreedy,8,10,31,514.41,0.018862009048461914
influenceListGreedy,8,10,32,267.84,0.019089698791503906
influenceListGreedy,8,10,33,374.84,0.018903017044067383
influenceListGreedy,8,10,34,405.1,0.018964529037475586
influenceListGreedy,8,10,35,355.9,0.020270347595214844
influenceListGreedy,8,10,36,456.7,0.020199298858642578
influenceListGreedy,8,10,37,469.49,0.018956661224365234
influenceListGreedy,8,10,38,391.15,0.019016027450561523
influenceListGreedy,8,10,39,407.23,0.018947362899780273
influenceListGreedy,8,10,40,399.7,0.020560741424560547
influenceListGreedy,8,10,41,396.4,0.020351409912109375
influenceListGreedy,8,10,42,497.09,0.019977807998657227
influenceListGreedy,8,10,43,462.77,0.02016139030456543
influenceListGreedy,8,10,44,403.9,0.02035379409790039
influenceListGreedy,8,10,45,407.36,0.01891326904296875
influenceListGreedy,8,10,46,525.09,0.018827438354492188
influenceListGreedy,8,10,47,532.53,0.01888251304626465
influenceListGreedy,8,10,48,427.04,0.020049571990966797
influenceListGreedy,8,10,49,381.4,0.018997669219970703
influenceListGreedy,8,10,50,416.74,0.018968582153320312
influenceListGreedy,8,10,51,431.19,0.01889777183532715
influenceListGreedy,8,10,52,396.5,0.019012928009033203
influenceListGreedy,8,10,53,366.52,0.018948078155517578
influenceListGreedy,8,10,54,425.83,0.0188601016998291
influenceListGreedy,8,10,55,471.51,0.02020549774169922
influenceListGreedy,8,10,56,253.57,0.02023768424987793
influenceListGreedy,8,10,57,436.25,0.019390344619750977
influenceListGreedy,8,10,58,486.83,0.020290136337280273
influenceListGreedy,8,10,59,417.0,0.019443273544311523
influenceListGreedy,8,10,60,407.05,0.020146846771240234
influenceListGreedy,8,10,61,390.85,0.020465373992919922
influenceListGreedy,8,10,62,300.91,0.02048325538635254
influenceListGreedy,8,10,63,408.27,0.02119159698486328
influenceListGreedy,8,10,64,397.89,0.019854068756103516
influenceListGreedy,8,10,65,433.88,0.019121885299682617
influenceListGreedy,8,10,66,407.53,0.01889634132385254
influenceListGreedy,8,10,67,365.98,0.02025151252746582
influenceListGreedy,8,10,68,512.14,0.019365310668945312
influenceListGreedy,8,10,69,404.51,0.019150733947753906
influenceListGreedy,8,10,70,254.0,0.0190274715423584
influenceListGreedy,8,10,71,401.84,0.019135236740112305
influenceListGreedy,8,10,72,477.27,0.018986225128173828
influenceListGreedy,8,10,73,359.77,0.019151926040649414
influenceListGreedy,8,10,74,338.1,0.02044367790222168
influenceListGreedy,8,10,75,320.37,0.01912832260131836
influenceListGreedy,8,10,76,352.49,0.019071102142333984
influenceListGreedy,8,10,77,381.46,0.019121170043945312
influenceListGreedy,8,10,78,334.64,0.019081592559814453
influenceListGreedy,8,10,79,409.44,0.020767927169799805
influenceListGreedy,8,10,80,346.8,0.020355701446533203
influenceListGreedy,8,10,81,368.71,0.020190715789794922
influenceListGreedy,8,10,82,544.84,0.020105361938476562
influenceListGreedy,8,10,83,489.43,0.020406007766723633
influenceListGreedy,8,10,84,330.7,0.018919944763183594
influenceListGreedy,8,10,85,325.0,0.019030332565307617
influenceListGreedy,8,10,86,476.49,0.020318269729614258
influenceListGreedy,8,10,87,455.48,0.01971435546875
influenceListGreedy,8,10,88,548.64,0.02004861831665039
influenceListGreedy,8,10,89,353.23,0.0190885066986084
influenceListGreedy,8,10,90,373.51,0.018911361694335938
influenceListGreedy,8,10,91,350.82,0.01902174949645996
influenceListGreedy,8,10,92,404.03,0.019012451171875
influenceListGreedy,8,10,93,338.0,0.019119739532470703
influenceListGreedy,8,10,94,314.93,0.02001953125
influenceListGreedy,8,10,95,338.72,0.019109010696411133
influenceListGreedy,8,10,96,361.98,0.01894092559814453
influenceListGreedy,8,10,97,286.74,0.0202484130859375
influenceListGreedy,8,10,98,466.87,0.019291162490844727
influenceListGreedy,8,10,99,396.02,0.02025747299194336
influenceListGreedy,8,20,0,582.2,0.0206148624420166
influenceListGreedy,8,20,1,286.07,0.02031993865966797
influenceListGreedy,8,20,2,340.79,0.019662141799926758
influenceListGreedy,8,20,3,315.01,0.019921064376831055
influenceListGreedy,8,20,4,386.97,0.01886439323425293
influenceListGreedy,8,20,5,457.8,0.018904685974121094
influenceListGreedy,8,20,6,362.13,0.019020557403564453
influenceListGreedy,8,20,7,367.67,0.01981806755065918
influenceListGreedy,8,20,8,338.31,0.01894664764404297
influenceListGreedy,8,20,9,362.37,0.019078731536865234
influenceListGreedy,8,20,10,387.87,0.01910543441772461
influenceListGreedy,8,20,11,403.49,0.01904153823852539
influenceListGreedy,8,20,12,494.89,0.018919944763183594
influenceListGreedy,8,20,13,338.71,0.01934218406677246
influenceListGreedy,8,20,14,507.02,0.019249677658081055
influenceListGreedy,8,20,15,365.76,0.0192108154296875
influenceListGreedy,8,20,16,240.99,0.019045352935791016
influenceListGreedy,8,20,17,321.96,0.019088029861450195
influenceListGreedy,8,20,18,435.54,0.019253969192504883
influenceListGreedy,8,20,19,317.53,0.019560575485229492
influenceListGreedy,8,20,20,406.74,0.02059769630432129
influenceListGreedy,8,20,21,331.61,0.020830631256103516
influenceListGreedy,8,20,22,394.7,0.01988506317138672
influenceListGreedy,8,20,23,377.14,0.018923521041870117
influenceListGreedy,8,20,24,389.62,0.019042015075683594
influenceListGreedy,8,20,25,389.29,0.01891469955444336
influenceListGreedy,8,20,26,329.6,0.019526243209838867
influenceListGreedy,8,20,27,369.35,0.01971912384033203
influenceListGreedy,8,20,28,397.71,0.019104719161987305
influenceListGreedy,8,20,29,333.69,0.019051074981689453
influenceListGreedy,8,20,30,355.93,0.01887679100036621
influenceListGreedy,8,20,31,514.41,0.019080162048339844
influenceListGreedy,8,20,32,267.84,0.018877744674682617
influenceListGreedy,8,20,33,374.84,0.02058267593383789
influenceListGreedy,8,20,34,405.1,0.02024555206298828
influenceListGreedy,8,20,35,355.9,0.020298242568969727
influenceListGreedy,8,20,36,456.7,0.019577741622924805
influenceListGreedy,8,20,37,469.49,0.019223928451538086
influenceListGreedy,8,20,38,391.15,0.020292282104492188
influenceListGreedy,8,20,39,407.23,0.0201416015625
influenceListGreedy,8,20,40,399.7,0.0200955867767334
influenceListGreedy,8,20,41,396.4,0.020151615142822266
influenceListGreedy,8,20,42,497.09,0.019764184951782227
influenceListGreedy,8,20,43,462.77,0.01883101463317871
influenceListGreedy,8,20,44,403.9,0.019008159637451172
influenceListGreedy,8,20,45,407.36,0.02037978172302246
influenceListGreedy,8,20,46,525.09,0.01973414421081543
influenceListGreedy,8,20,47,532.53,0.019937515258789062
