Algorithm,Random Avg,Grouped Avg,Score Difference,Relative Improvement (%),Grouped Wins (%),Ties (%)
linearSwitch,13464.137163636362,14329.097677595628,864.9605139592659,6.424180795597743,100.0,0.0
randomSwitch,14257.987327272727,14662.66664845173,404.6793211790027,2.8382639982077325,100.0,0.0
annealing,11374.436636363635,12823.347486338798,1448.9108499751637,12.738308685487349,100.0,0.0
tabuSearch,12584.712254545455,14614.466742493176,2029.754487947721,16.12873180484994,100.0,0.0
Total/Average,12920.318345454545,14107.394638719832,1187.0762932652883,9.532371321035692,100.0,0.0
