Algorithm,Random Avg,Grouped Avg,Score Difference,Relative Improvement (%),Grouped Wins (%),Ties (%)
linearSwitch,5064.942093181819,5294.378992265695,229.4368990838766,4.529901721734065,84.0909090909091,0.0
randomSwitch,5243.196847727273,5364.62542311192,121.42857538464705,2.3159263119652227,88.63636363636364,0.0
annealing,4521.331184090909,4881.446460418562,360.1152763276532,7.9648064179589735,56.81818181818182,25.0
tabuSearch,4830.151884090909,5362.251817148056,532.0999330571467,11.016215345312979,70.45454545454545,0.0
Total/Average,4914.905502272727,5225.675673236058,310.7701709633309,6.45671244924281,75.0,6.25
