Algorithm,Random Avg,Grouped Avg,Score Difference,Relative Improvement (%),Grouped Wins (%),Ties (%)
linearSwitch,4873.135472727272,4931.452577413479,58.31710468620713,1.196706001968989,100.0,0.0
randomSwitch,4810.65149090909,4893.070309653916,82.41881874482624,1.7132569029491511,100.0,0.0
annealing,4750.042472727272,4755.570027322404,5.527554595131733,0.11636852989986099,72.72727272727273,0.0
tabuSearch,4799.791,4902.082049180328,102.29104918032772,2.1311563186882037,100.0,0.0
Total/Average,4808.405109090909,4870.543740892532,62.138631801623205,1.2893719383765512,93.18181818181819,0.0
