algorithm,n_people,cohesion,iteration,score,time
linearSwitchFromGrouped,8,10,86,522.09,0.07175374031066895
linearSwitchFromGrouped,8,10,87,500.85,0.11572480201721191
linearSwitchFromGrouped,8,10,88,572.56,0.07320261001586914
linearSwitchFromGrouped,8,10,89,405.98,0.0658729076385498
linearSwitchFromGrouped,8,10,90,420.8,0.07607293128967285
linearSwitchFromGrouped,8,10,91,371.57,0.07055449485778809
linearSwitchFromGrouped,8,10,92,459.99,0.08641600608825684
linearSwitchFromGrouped,8,10,93,351.88,0.07102131843566895
linearSwitchFromGrouped,8,10,94,348.21,0.09524250030517578
linearSwitchFromGrouped,8,10,95,398.53,0.0852212905883789
linearSwitchFromGrouped,8,10,96,427.22,0.0700838565826416
linearSwitchFromGrouped,8,10,97,318.8,0.07138299942016602
linearSwitchFromGrouped,8,10,98,490.71,0.06943440437316895
linearSwitchFromGrouped,8,10,99,417.14,0.07789492607116699
linearSwitchFromGrouped,8,30,0,631.44,0.0873556137084961
linearSwitchFromGrouped,8,30,1,348.37,0.08190608024597168
linearSwitchFromGrouped,8,30,2,423.31,0.10503387451171875
linearSwitchFromGrouped,8,30,3,337.62,0.08017396926879883
linearSwitchFromGrouped,8,30,4,429.19,0.08099126815795898
linearSwitchFromGrouped,8,30,5,504.38,0.1170041561126709
linearSwitchFromGrouped,8,30,6,378.97,0.07338523864746094
linearSwitchFromGrouped,8,30,7,452.07,0.08127188682556152
linearSwitchFromGrouped,8,30,8,384.76,0.08697295188903809
linearSwitchFromGrouped,8,30,9,407.71,0.09276533126831055
linearSwitchFromGrouped,8,30,10,429.29,0.07485365867614746
linearSwitchFromGrouped,8,30,11,478.02,0.08641529083251953
linearSwitchFromGrouped,8,30,12,533.11,0.09061002731323242
linearSwitchFromGrouped,8,30,13,406.69,0.10251021385192871
linearSwitchFromGrouped,8,30,14,568.63,0.09405922889709473
linearSwitchFromGrouped,8,30,15,424.18,0.08505010604858398
linearSwitchFromGrouped,8,30,16,277.01,0.06606745719909668
linearSwitchFromGrouped,8,30,17,354.57,0.08281207084655762
linearSwitchFromGrouped,8,30,18,465.08,0.0923149585723877
linearSwitchFromGrouped,8,30,19,363.75,0.06519937515258789
linearSwitchFromGrouped,8,30,20,453.04,0.07624411582946777
linearSwitchFromGrouped,8,30,21,339.55,0.08545613288879395
linearSwitchFromGrouped,8,30,22,433.92,0.10187745094299316
linearSwitchFromGrouped,8,30,23,423.97,0.08073639869689941
linearSwitchFromGrouped,8,30,24,415.25,0.11117100715637207
linearSwitchFromGrouped,8,30,25,422.22,0.08573675155639648
linearSwitchFromGrouped,8,30,26,387.67,0.08217120170593262
linearSwitchFromGrouped,8,30,27,415.88,0.08212089538574219
linearSwitchFromGrouped,8,30,28,455.81,0.08556866645812988
linearSwitchFromGrouped,8,30,29,390.07,0.07868146896362305
linearSwitchFromGrouped,8,30,30,410.17,0.07250618934631348
linearSwitchFromGrouped,8,30,31,561.79,0.11105656623840332
linearSwitchFromGrouped,8,30,32,333.69,0.07218313217163086
linearSwitchFromGrouped,8,30,33,447.48,0.07895398139953613
linearSwitchFromGrouped,8,30,34,458.34,0.0745856761932373
linearSwitchFromGrouped,8,30,35,364.96,0.09529447555541992
linearSwitchFromGrouped,8,30,36,517.45,0.06531667709350586
linearSwitchFromGrouped,8,30,37,497.13,0.09174537658691406
linearSwitchFromGrouped,8,30,38,431.09,0.08825564384460449
linearSwitchFromGrouped,8,30,39,435.43,0.06550431251525879
linearSwitchFromGrouped,8,30,40,445.4,0.06464219093322754
linearSwitchFromGrouped,8,30,41,475.19,0.09475588798522949
linearSwitchFromGrouped,8,30,42,548.48,0.07105660438537598
linearSwitchFromGrouped,8,30,43,504.15,0.1070241928100586
linearSwitchFromGrouped,8,30,44,440.81,0.06872963905334473
linearSwitchFromGrouped,8,30,45,435.43,0.08448433876037598
linearSwitchFromGrouped,8,30,46,576.18,0.06729769706726074
linearSwitchFromGrouped,8,30,47,584.27,0.08274006843566895
linearSwitchFromGrouped,8,30,48,441.96,0.08347654342651367
linearSwitchFromGrouped,8,30,49,439.09,0.07402324676513672
linearSwitchFromGrouped,8,30,50,440.22,0.06830883026123047
linearSwitchFromGrouped,8,30,51,462.79,0.0774238109588623
linearSwitchFromGrouped,8,30,52,468.1,0.08167386054992676
linearSwitchFromGrouped,8,30,53,385.08,0.08824348449707031
linearSwitchFromGrouped,8,30,54,493.42,0.06290507316589355
linearSwitchFromGrouped,8,30,55,519.71,0.09271430969238281
linearSwitchFromGrouped,8,30,56,317.25,0.08659768104553223
linearSwitchFromGrouped,8,30,57,483.48,0.10660743713378906
linearSwitchFromGrouped,8,30,58,524.48,0.07132363319396973
linearSwitchFromGrouped,8,30,59,444.68,0.08801102638244629
linearSwitchFromGrouped,8,30,60,452.21,0.08904290199279785
linearSwitchFromGrouped,8,30,61,473.15,0.08202958106994629
linearSwitchFromGrouped,8,30,62,331.17,0.08261656761169434
linearSwitchFromGrouped,8,30,63,452.72,0.07952642440795898
linearSwitchFromGrouped,8,30,64,450.37,0.06779074668884277
linearSwitchFromGrouped,8,30,65,466.37,0.08118367195129395
linearSwitchFromGrouped,8,30,66,407.82,0.06387138366699219
linearSwitchFromGrouped,8,30,67,380.8,0.07157135009765625
linearSwitchFromGrouped,8,30,68,551.61,0.07545113563537598
