Algorithm,Random Avg,Grouped Avg,Score Difference,Relative Improvement (%),Grouped Wins (%),Ties (%)
linearSwitch,437.98511818181817,437.95020000000005,-0.03491818181811368,-0.007972458507966544,45.45454545454545,0.0
randomSwitch,436.2292272727273,436.2129181818182,-0.01630909090908972,-0.003738651582575735,54.54545454545454,0.0
annealing,439.70599999999996,439.70599999999996,0.0,0.0,0.0,100.0
tabuSearch,439.64498181818186,439.6082,-0.03678181818185067,-0.00836625452421564,18.181818181818183,0.0
Total/Average,438.3913318181818,438.36932954545455,-0.022002272727263517,-0.00501934115368948,29.545454545454547,25.0
